"x","y","c"
2.40204701899609,3.72869525417174,"1"
-0.660032148347166,7.0472056437967,"0"
2.20283930675151,-2.39430284770878,"2"
3.17918302705347,2.59388463745796,"1"
3.17332042092273,-2.15268794093625,"2"
2.25928583311632,-2.68392668752714,"2"
1.98231258564294,3.40029276550212,"1"
2.47185324630084,2.61799299252633,"1"
-2.39987330282045,-4.28925086211929,"4"
-1.07179621975708,5.05864862349635,"0"
-1.03379038930796,-2.90958807082714,"4"
2.50480833819164,2.95325467872072,"1"
-0.0629375385046877,5.26343202687085,"0"
3.29321043873045,-0.950112584854241,"2"
0.179989232783928,-6.48110454674481,"3"
0.398690528230669,-5.22157652987734,"3"
3.68400813210128,3.60733374235336,"1"
-0.807317330347101,6.62871512080242,"0"
-3.71234902998603,2.43067179540462,"5"
-0.520406889355766,7.28388596812003,"0"
2.81764640673463,-3.85992457675365,"2"
-2.61827575388263,3.01523965104526,"5"
2.27514895809665,1.50208487026665,"1"
-0.861515301384149,-6.96148497076816,"3"
0.105004040560395,-5.94795449320879,"3"
-2.30407429296112,3.12703153844716,"5"
-2.59532688069934,-3.69257524095248,"4"
-1.33699318956431,7.53899376013775,"0"
3.46237366838747,5.21819633197287,"1"
-0.167614636917696,5.98151248820419,"0"
-2.75881430673836,3.5770517940879,"5"
-3.26574721282799,3.80181200351541,"5"
-1.31087598112668,-1.99832458141953,"4"
3.09422846383475,-2.5238010531073,"2"
2.06259403731412,-3.60744767920032,"2"
3.8129221665217,4.25846551417219,"1"
2.03741561945713,4.00749285894203,"1"
-2.88508834755107,-2.6622290689773,"4"
1.64222920384833,-3.92329987122987,"2"
-1.96288333051103,2.24707284637744,"5"
-2.47688849399706,1.83705428169612,"5"
3.12105373894528,-3.98552096947251,"2"
3.40095669095762,-2.00346678549464,"2"
0.427220672103762,-4.93270666867262,"3"
-1.43966056984366,-6.46335386329924,"3"
2.67371462859105,2.9553504651108,"1"
2.24597591063119,3.8590161167319,"1"
-1.91082826301644,4.2945033950201,"5"
-1.84572288725161,1.67476113713877,"5"
1.20465782634758,-4.62067363956626,"2"
-0.9571872411299,-7.87648479731562,"3"
-3.40849697445949,-1.82915240054255,"4"
-3.06861555141655,2.77948503531824,"5"
0.220798631388232,3.62154253453262,"0"
-2.91913633249637,3.34842560798881,"5"
-1.82122308098696,-3.38860295656467,"4"
-0.263149291511794,5.17421755192814,"0"
-0.267444163575273,4.52898269984874,"0"
-0.824172226723672,5.28717702704894,"0"
3.14374173274896,4.18572967827644,"1"
3.01824937239635,-3.23250671619682,"2"
3.3027997717908,-2.83057625381408,"2"
-2.53233495403542,-3.06427368824537,"4"
-2.59722946735549,2.59594363447549,"5"
-1.70906822652356,6.87015708965931,"0"
-1.26983129808241,3.46383262867241,"5"
1.88539941236421,-4.71080924580347,"2"
-3.20298252623458,-2.18763218108823,"4"
3.14710328665095,-2.79420553910059,"2"
3.3988527190073,-2.77933094880962,"2"
-2.04746222314391,-2.94538141470548,"4"
2.96581478261991,-3.97902604947642,"2"
4.42516853810655,-2.66711394908314,"2"
-0.125960389592191,5.49644354107146,"0"
2.01788453034246,-1.64712391386907,"2"
1.26853130431012,-3.03483224071629,"2"
-0.248857907757649,7.14390545927257,"0"
-0.397052346107243,5.37570645346626,"0"
0.933029800554075,6.72187492778409,"0"
2.39612694566006,3.24732608812636,"1"
-2.99971436074262,2.55588513955972,"5"
-1.42140094749346,-2.54800818373342,"4"
-1.55230916170243,-3.68529461830941,"4"
-2.0267993996749,-3.65669843871719,"4"
-0.895481696355291,-5.25048120162826,"3"
2.57346668747332,-2.23744564775298,"2"
-2.60743019545641,2.83291712311514,"5"
1.72207118666724,2.33970954573068,"1"
0.927110583642262,-3.03448358914949,"2"
-2.72365535261528,-3.68409521735384,"4"
-0.621658887807106,-8.63262594206267,"3"
-0.667713367367873,-5.77140113781865,"3"
-2.50865421564944,-4.43406854516171,"4"
-3.01497472613033,2.71984117937315,"5"
-2.21049781011607,1.96908464304777,"5"
-0.300788722992567,-5.68411193303577,"3"
2.16471341695838,3.36827628929141,"1"
-3.48824439020141,-3.35951692671449,"4"
0.392954104664571,-5.8983504973461,"3"
-4.12462569553414,-4.80237004981996,"4"
-2.95981978590214,3.93926534272436,"5"
-0.581678564111535,-6.43249670805579,"3"
1.73830687779715,-1.37945721201206,"2"
3.47233742251409,-3.42756799046772,"2"
3.44508638287604,3.05160978085338,"1"
-0.811137696684566,3.8500425455002,"0"
2.00379046439114,1.6203805016974,"1"
2.68349266093232,-4.4112530882867,"2"
3.30210727467863,-2.11783900340583,"2"
3.73260334001034,2.56593141228133,"1"
0.125761349658488,5.66359138905799,"0"
-1.88407207246053,4.30477127945746,"5"
0.8397335639699,-6.05275156847556,"3"
